epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1268,2.87545,5.68619,1.55031,0.42667,0.0672,0.08857,0.02757,2.56615,3.14805,1.33242,0.00036868,0.00036868,0.00036868
2,82.4129,2.82582,3.92911,1.51215,0.39996,0.19278,0.11705,0.03564,2.76443,2.54851,1.42732,0.000724381,0.000724381,0.000724381
3,122.295,2.86479,3.32614,1.53682,0.21432,0.22035,0.14008,0.0399,2.76401,2.5279,1.39018,0.00106542,0.00106542,0.00106542
4,162.437,2.88598,3.08458,1.52231,0.21727,0.21405,0.15165,0.04737,2.74717,2.46903,1.38665,0.00104501,0.00104501,0.00104501
5,203.66,2.7602,2.89993,1.47662,0.26119,0.2068,0.15589,0.0497,2.72644,2.28445,1.30914,0.00102301,0.00102301,0.00102301
6,245.647,2.71192,2.84152,1.50122,0.32919,0.21379,0.19423,0.06226,2.57977,2.28019,1.30932,0.00100101,0.00100101,0.00100101
7,287.077,2.70018,2.75533,1.47232,0.26998,0.25407,0.21503,0.06848,2.56076,2.28616,1.29202,0.000979013,0.000979013,0.000979013
8,332.345,2.68106,2.73537,1.44037,0.30262,0.23926,0.20789,0.06683,2.57336,2.2357,1.29433,0.000957015,0.000957015,0.000957015
9,373.211,2.62623,2.63866,1.42443,0.29135,0.25826,0.22248,0.07547,2.58089,2.15467,1.2876,0.000935018,0.000935018,0.000935018
10,414.147,2.62908,2.63162,1.42355,0.52223,0.30414,0.2226,0.07245,2.5693,2.28034,1.28976,0.00091302,0.00091302,0.00091302
11,461.725,2.61137,2.56555,1.4016,0.32215,0.26965,0.22223,0.07363,2.52303,2.35064,1.29632,0.000891022,0.000891022,0.000891022
12,502.338,2.59367,2.5683,1.40253,0.46575,0.27138,0.21333,0.06562,2.57491,2.09212,1.27703,0.000869024,0.000869024,0.000869024
13,543.381,2.62537,2.5613,1.39699,0.55435,0.28895,0.25992,0.08809,2.46966,2.00659,1.24886,0.000847026,0.000847026,0.000847026
14,585.045,2.58013,2.51726,1.37502,0.47642,0.2142,0.16963,0.05385,2.6806,2.14313,1.31731,0.000825029,0.000825029,0.000825029
15,626.943,2.56577,2.50335,1.37322,0.5125,0.27341,0.23899,0.08349,2.4723,2.13375,1.25444,0.000803031,0.000803031,0.000803031
16,668.604,2.55379,2.48552,1.37847,0.3305,0.27271,0.24881,0.08536,2.43565,2.07501,1.2639,0.000781033,0.000781033,0.000781033
17,710.069,2.57162,2.42815,1.35852,0.35489,0.28848,0.24466,0.07868,2.53698,2.15295,1.26149,0.000759035,0.000759035,0.000759035
18,751.254,2.52981,2.41449,1.36126,0.314,0.27642,0.23197,0.0833,2.4277,2.0482,1.25378,0.000737037,0.000737037,0.000737037
19,792.673,2.55145,2.44702,1.34974,0.3633,0.28678,0.24689,0.0841,2.45223,2.09083,1.25011,0.00071504,0.00071504,0.00071504
20,834.086,2.54545,2.41958,1.33457,0.37571,0.28917,0.25482,0.08496,2.40652,2.11232,1.25478,0.000693042,0.000693042,0.000693042
21,875.648,2.51789,2.39024,1.34308,0.35866,0.32336,0.26914,0.09574,2.39657,1.97799,1.24472,0.000671044,0.000671044,0.000671044
22,917.411,2.53338,2.35265,1.3194,0.33647,0.29687,0.23719,0.08097,2.44322,2.13411,1.24405,0.000649046,0.000649046,0.000649046
23,958.732,2.46673,2.34359,1.33081,0.38513,0.30843,0.29374,0.09975,2.30379,2.03934,1.21567,0.000627048,0.000627048,0.000627048
24,1000.28,2.49815,2.32218,1.32509,0.38225,0.30242,0.30039,0.10498,2.38989,1.97682,1.22642,0.000605051,0.000605051,0.000605051
25,1041.32,2.46984,2.28315,1.3098,0.37764,0.33451,0.29336,0.10509,2.34099,1.96858,1.22736,0.000583053,0.000583053,0.000583053
26,1082.54,2.48328,2.28566,1.29158,0.37158,0.30984,0.27218,0.09188,2.4654,2.03105,1.23439,0.000561055,0.000561055,0.000561055
27,1124.57,2.44046,2.2947,1.30931,0.41399,0.30813,0.28831,0.09965,2.42364,1.98354,1.25896,0.000539057,0.000539057,0.000539057
28,1165.88,2.44973,2.2602,1.30787,0.34576,0.34592,0.28133,0.09813,2.35935,1.93421,1.22758,0.000517059,0.000517059,0.000517059
29,1207.06,2.48228,2.29175,1.31462,0.36299,0.3302,0.29701,0.09912,2.38987,1.90236,1.23226,0.000495062,0.000495062,0.000495062
30,1248.16,2.45039,2.24365,1.29603,0.38266,0.35697,0.30796,0.11365,2.31062,1.91539,1.20496,0.000473064,0.000473064,0.000473064
31,1289.91,2.41849,2.2082,1.29461,0.40571,0.31752,0.29828,0.10446,2.33021,2.01726,1.18901,0.000451066,0.000451066,0.000451066
32,1334.23,2.41657,2.24189,1.30373,0.4173,0.33593,0.3074,0.11174,2.34677,1.84045,1.20189,0.000429068,0.000429068,0.000429068
33,1374.87,2.44439,2.19105,1.28777,0.41089,0.34012,0.30694,0.10871,2.34293,1.87554,1.22605,0.00040707,0.00040707,0.00040707
34,1415.93,2.42462,2.13338,1.27322,0.59582,0.36989,0.32542,0.11432,2.37618,1.86395,1.20296,0.000385073,0.000385073,0.000385073
35,1457.23,2.38136,2.13923,1.26473,0.39514,0.36781,0.31207,0.10781,2.38562,1.94375,1.2169,0.000363075,0.000363075,0.000363075
36,1498.4,2.43514,2.18471,1.29076,0.59128,0.3574,0.30356,0.11744,2.30369,1.86898,1.20148,0.000341077,0.000341077,0.000341077
37,1539.33,2.40471,2.12016,1.28862,0.40007,0.36247,0.31418,0.11602,2.26302,1.8861,1.18536,0.000319079,0.000319079,0.000319079
38,1580.51,2.41438,2.12332,1.26661,0.65718,0.37511,0.35159,0.12997,2.2979,1.80253,1.19614,0.000297081,0.000297081,0.000297081
39,1621.74,2.38335,2.07893,1.26282,0.61668,0.35661,0.31478,0.11392,2.37692,1.84728,1.18681,0.000275084,0.000275084,0.000275084
40,1662.88,2.37474,2.0651,1.26512,0.41549,0.3639,0.32032,0.12033,2.34192,1.80909,1.19431,0.000253086,0.000253086,0.000253086
41,1705.01,2.33027,1.87044,1.25901,0.45236,0.38215,0.3405,0.1285,2.34628,1.85731,1.20164,0.000231088,0.000231088,0.000231088
42,1745.9,2.31718,1.80825,1.25298,0.42408,0.3912,0.32911,0.12628,2.3082,1.82977,1.18387,0.00020909,0.00020909,0.00020909
43,1786.69,2.30533,1.78798,1.24763,0.44144,0.3941,0.33137,0.13174,2.27041,1.74081,1.17633,0.000187092,0.000187092,0.000187092
44,1835.31,2.28622,1.76626,1.24623,0.42858,0.39314,0.32915,0.12578,2.27789,1.80029,1.1691,0.000165095,0.000165095,0.000165095
45,1875.74,2.27387,1.73296,1.23808,0.61803,0.41498,0.34565,0.12856,2.29482,1.79499,1.18557,0.000143097,0.000143097,0.000143097
46,1916.28,2.27501,1.74364,1.22881,0.63326,0.3949,0.34342,0.13287,2.26551,1.75905,1.17316,0.000121099,0.000121099,0.000121099
47,1956.98,2.27416,1.72544,1.24141,0.63405,0.40093,0.34981,0.13773,2.23961,1.75081,1.1707,9.91012e-05,9.91012e-05,9.91012e-05
