epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5346,2.98133,12.2291,1.61069,0.32325,0.11376,0.07121,0.02027,2.9652,9.41388,1.43522,0.000331811,0.000331811,0.0671507
2,76.0374,2.85134,9.62235,1.56354,0.19725,0.21344,0.12122,0.03868,2.76295,7.52739,1.3488,0.000651975,0.000651975,0.0341375
3,113.383,2.87486,9.15946,1.51058,0.22389,0.22544,0.14404,0.04076,2.88208,7.56806,1.42368,0.000958938,0.000958938,0.00111115
4,150.859,2.85529,8.6442,1.5012,0.19618,0.21737,0.15382,0.04745,2.72343,9.30126,1.36724,0.0009406,0.0009406,0.0009406
5,188.604,2.76839,8.54891,1.49962,0.27551,0.22156,0.16451,0.04858,2.70001,7.11029,1.32215,0.0009208,0.0009208,0.0009208
6,226.301,2.78471,8.39408,1.4639,0.28974,0.24584,0.17426,0.05108,2.74728,6.57066,1.3209,0.000901,0.000901,0.000901
7,264.095,2.73756,8.1305,1.43589,0.30806,0.24387,0.20335,0.05693,2.68955,6.62842,1.3061,0.0008812,0.0008812,0.0008812
8,301.783,2.70902,8.01544,1.44511,0.28437,0.25975,0.19973,0.06166,2.69573,6.80168,1.32843,0.0008614,0.0008614,0.0008614
9,339.602,2.74652,7.90298,1.42908,0.27697,0.27455,0.19862,0.06219,2.74253,6.58815,1.318,0.0008416,0.0008416,0.0008416
10,377.238,2.70414,7.96668,1.44898,0.34474,0.24668,0.21357,0.06526,2.66059,6.62043,1.33607,0.0008218,0.0008218,0.0008218
11,414.983,2.68325,7.71578,1.42601,0.23085,0.2351,0.16665,0.05134,2.72596,6.81386,1.32535,0.000802,0.000802,0.000802
12,453.133,2.66127,7.66214,1.41247,0.30478,0.26083,0.20846,0.0561,2.79087,6.36321,1.37108,0.0007822,0.0007822,0.0007822
13,491.394,2.64562,7.66926,1.40084,0.35364,0.27587,0.22831,0.0677,2.72501,6.30851,1.34634,0.0007624,0.0007624,0.0007624
14,529.321,2.65946,7.60914,1.39649,0.31757,0.25497,0.21589,0.05968,2.76387,6.70022,1.33831,0.0007426,0.0007426,0.0007426
15,567.266,2.64383,7.59423,1.40632,0.35848,0.28676,0.25799,0.07965,2.55295,6.23204,1.29561,0.0007228,0.0007228,0.0007228
16,604.991,2.63072,7.42299,1.38513,0.57188,0.26476,0.24221,0.07452,2.68918,6.56729,1.31565,0.000703,0.000703,0.000703
17,642.944,2.65615,7.36703,1.36959,0.53387,0.29499,0.2399,0.07426,2.72151,6.71727,1.29525,0.0006832,0.0006832,0.0006832
18,681.067,2.61013,7.3031,1.36861,0.55414,0.28944,0.25446,0.07936,2.59378,6.24444,1.29711,0.0006634,0.0006634,0.0006634
19,718.995,2.62363,7.31583,1.3786,0.56417,0.28672,0.26124,0.09241,2.5281,6.14454,1.24477,0.0006436,0.0006436,0.0006436
20,757.193,2.5801,7.27834,1.35544,0.5447,0.28719,0.24765,0.07485,2.62889,6.04535,1.29741,0.0006238,0.0006238,0.0006238
21,795.608,2.56888,7.16391,1.35281,0.37993,0.31167,0.2797,0.09238,2.56419,6.16362,1.25623,0.000604,0.000604,0.000604
22,834.813,2.60443,7.02951,1.32932,0.37947,0.30857,0.28566,0.09348,2.49601,6.19418,1.26085,0.0005842,0.0005842,0.0005842
23,872.935,2.57485,7.10562,1.32944,0.36421,0.3196,0.25534,0.07726,2.60067,5.93457,1.24029,0.0005644,0.0005644,0.0005644
24,911.194,2.5926,6.90947,1.31458,0.56112,0.33103,0.26907,0.07439,2.5748,6.10992,1.25937,0.0005446,0.0005446,0.0005446
25,949.577,2.53414,6.9141,1.34136,0.57623,0.31316,0.28599,0.09339,2.50099,5.93657,1.22697,0.0005248,0.0005248,0.0005248
