epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7061,2.98133,12.2291,1.61069,0.32325,0.11376,0.07121,0.02027,2.9652,9.41388,1.43522,0.000331811,0.000331811,0.0671507
2,76.3508,2.87857,9.60179,1.55558,0.21902,0.20585,0.13178,0.03625,2.82344,7.2712,1.44192,0.00065856,0.00065856,0.0341441
3,113.844,2.87944,9.06191,1.51053,0.25051,0.19831,0.15104,0.0469,2.84664,7.50239,1.41042,0.000978708,0.000978708,0.00113092
4,151.229,2.85113,8.68292,1.47954,0.22985,0.22022,0.16723,0.04925,2.76854,7.19483,1.40197,0.0009703,0.0009703,0.0009703
5,188.445,2.78636,8.57696,1.50459,0.21967,0.24152,0.14777,0.03705,2.90136,6.93722,1.39242,0.0009604,0.0009604,0.0009604
6,225.759,2.80602,8.42851,1.45655,0.27552,0.27379,0.19842,0.05979,2.70861,6.67927,1.33387,0.0009505,0.0009505,0.0009505
7,263.139,2.74735,8.1495,1.43943,0.23788,0.25226,0.17543,0.05018,2.73449,6.94679,1.34392,0.0009406,0.0009406,0.0009406
8,300.374,2.71923,8.10761,1.44928,0.27264,0.2899,0.20617,0.0595,2.72909,6.9165,1.33917,0.0009307,0.0009307,0.0009307
9,337.624,2.74732,7.91339,1.42153,0.26093,0.22097,0.15614,0.04263,2.79771,6.87929,1.36391,0.0009208,0.0009208,0.0009208
10,374.911,2.72312,8.0162,1.45145,0.24873,0.23219,0.19489,0.06135,2.57667,6.92107,1.28475,0.0009109,0.0009109,0.0009109
11,412.263,2.69173,7.76023,1.42971,0.2617,0.21136,0.18698,0.05961,2.57729,7.12121,1.29912,0.000901,0.000901,0.000901
12,449.533,2.65302,7.73704,1.41253,0.31834,0.26419,0.20398,0.05636,2.7834,6.48938,1.35783,0.0008911,0.0008911,0.0008911
13,486.868,2.67265,7.80392,1.40179,0.3223,0.25673,0.22475,0.0647,2.72357,7.34547,1.37052,0.0008812,0.0008812,0.0008812
14,524.187,2.67437,7.66108,1.41338,0.33141,0.26113,0.23116,0.06203,2.72818,6.60925,1.33099,0.0008713,0.0008713,0.0008713
15,561.524,2.66984,7.67551,1.41461,0.32733,0.26355,0.23345,0.07063,2.63684,6.31715,1.30335,0.0008614,0.0008614,0.0008614
16,598.835,2.65203,7.52718,1.39653,0.35532,0.28107,0.25623,0.08003,2.66704,6.65443,1.33601,0.0008515,0.0008515,0.0008515
17,636.158,2.6667,7.50585,1.36635,0.33732,0.29472,0.25371,0.07558,2.63985,6.35755,1.28403,0.0008416,0.0008416,0.0008416
18,673.501,2.63303,7.41763,1.37889,0.60356,0.26643,0.26292,0.08237,2.5897,6.19603,1.29195,0.0008317,0.0008317,0.0008317
19,710.97,2.63732,7.41495,1.37608,0.3825,0.2735,0.24482,0.079,2.5385,6.35546,1.26825,0.0008218,0.0008218,0.0008218
20,748.363,2.61286,7.44319,1.36851,0.52956,0.29044,0.24261,0.07111,2.65369,6.24009,1.31133,0.0008119,0.0008119,0.0008119
21,785.748,2.59874,7.32883,1.37854,0.3926,0.30174,0.29513,0.09553,2.54355,6.09075,1.27673,0.000802,0.000802,0.000802
22,823.165,2.63066,7.11558,1.34581,0.40204,0.28799,0.26984,0.0891,2.54612,6.16416,1.26453,0.0007921,0.0007921,0.0007921
23,860.52,2.60534,7.26244,1.35309,0.35423,0.33445,0.2616,0.07065,2.67589,6.06786,1.28553,0.0007822,0.0007822,0.0007822
24,897.91,2.62089,7.06454,1.33312,0.37583,0.31103,0.26495,0.07723,2.6191,6.41724,1.28829,0.0007723,0.0007723,0.0007723
25,935.295,2.57462,7.01416,1.35815,0.54537,0.29874,0.25084,0.07545,2.60287,6.21003,1.27518,0.0007624,0.0007624,0.0007624
26,972.704,2.58482,7.00285,1.3342,0.55072,0.30855,0.2749,0.0848,2.5744,6.08591,1.29451,0.0007525,0.0007525,0.0007525
27,1010.09,2.55779,7.00914,1.35019,0.52151,0.28547,0.24502,0.07318,2.54571,6.28359,1.26814,0.0007426,0.0007426,0.0007426
28,1047.47,2.57726,7.14183,1.34653,0.57887,0.27848,0.26768,0.0743,2.60024,6.10835,1.28681,0.0007327,0.0007327,0.0007327
29,1084.87,2.54382,6.91421,1.33245,0.57057,0.32436,0.27139,0.08452,2.58096,6.00767,1.28117,0.0007228,0.0007228,0.0007228
30,1122.25,2.55227,6.98349,1.3328,0.36493,0.29768,0.27916,0.08566,2.55395,5.9229,1.25717,0.0007129,0.0007129,0.0007129
